iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,321,33554432,601.58,3.5.87.215:443,
0,bench/30gib-0.bin,495,33554432,601.29,3.5.87.215:443,
0,bench/30gib-0.bin,511,33554432,600.80,3.5.87.215:443,
0,bench/30gib-0.bin,393,33554432,605.64,3.5.87.215:443,
0,bench/30gib-0.bin,475,33554432,606.35,3.5.84.6:443,
0,bench/30gib-0.bin,356,33554432,606.95,3.5.87.215:443,
0,bench/30gib-0.bin,93,33554432,610.21,52.92.243.34:443,
0,bench/30gib-0.bin,49,33554432,610.65,3.5.87.215:443,
0,bench/30gib-0.bin,289,33554432,613.04,3.5.77.103:443,
0,bench/30gib-0.bin,355,33554432,612.76,3.5.87.215:443,
0,bench/30gib-0.bin,337,33554432,614.54,3.5.84.6:443,
0,bench/30gib-0.bin,361,33554432,614.85,3.5.87.215:443,
0,bench/30gib-0.bin,306,33554432,615.03,3.5.77.103:443,
0,bench/30gib-0.bin,146,33554432,615.65,52.92.234.242:443,
0,bench/30gib-0.bin,460,33554432,614.16,3.5.77.103:443,
0,bench/30gib-0.bin,248,33554432,616.27,3.5.77.103:443,
0,bench/30gib-0.bin,438,33554432,616.96,16.15.33.174:443,
0,bench/30gib-0.bin,245,33554432,618.52,3.5.84.6:443,
0,bench/30gib-0.bin,377,33554432,618.15,3.5.77.103:443,
0,bench/30gib-0.bin,486,33554432,617.31,3.5.84.6:443,
0,bench/30gib-0.bin,277,33554432,619.71,3.5.77.103:443,
0,bench/30gib-0.bin,505,33554432,619.61,3.5.84.6:443,
0,bench/30gib-0.bin,63,33554432,620.21,3.5.77.103:443,
0,bench/30gib-0.bin,489,33554432,621.58,16.15.33.174:443,
0,bench/30gib-0.bin,167,33554432,623.06,3.5.77.103:443,
0,bench/30gib-0.bin,295,33554432,625.10,3.5.77.103:443,
0,bench/30gib-0.bin,285,33554432,625.86,3.5.87.215:443,
0,bench/30gib-0.bin,61,33554432,625.30,3.5.84.6:443,
0,bench/30gib-0.bin,440,33554432,625.10,16.15.33.174:443,
0,bench/30gib-0.bin,79,33554432,626.86,3.5.84.6:443,
0,bench/30gib-0.bin,36,33554432,625.52,3.5.84.6:443,
0,bench/30gib-0.bin,450,33554432,626.70,52.92.234.242:443,
0,bench/30gib-0.bin,382,33554432,628.45,16.15.33.174:443,
0,bench/30gib-0.bin,407,33554432,628.47,3.5.87.215:443,
0,bench/30gib-0.bin,166,33554432,632.00,3.5.87.215:443,
0,bench/30gib-0.bin,472,33554432,632.38,3.5.84.6:443,
0,bench/30gib-0.bin,229,33554432,634.75,3.5.77.103:443,
0,bench/30gib-0.bin,176,33554432,635.70,3.5.87.215:443,
